Queries	Intent
please let us know when the file will be delivered	axway
Is the File delivered	axway
What is the estimated delivery of the file	axway
could you please let us know the ETA of the file	axway
please let us know estimated delivery of the file	axway
what are the installs happening this week	snow
what is the status of the CM	snow
is the ticket approved?	snow
how to buy mutual fund	search
please resend the file	axway
re-trigger the file	axway
take me to the CM page	snow
how to raise a service now ticket	search
what are the fidelity funds available	search
what is  Fidelity's networth	search
status of market	search
will the stock market raise today	search
what installs go live this week	snow
I wanna buy a mutual fund	search
will the file be delivered before 8	axway
hi let me know status of stock	search
